name,stats_total,weakness,individual_stats,types
metapod,205,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 2, 'ice': 1, 'fighting': 0.5, 'poison': 0.5, 'ground': 1, 'flying': 0.5, 'psychic': 2, 'bug': 1, 'rock': 1, 'ghost': 0.5, 'dragon': 1, 'dark': 2, 'steel': 0.5, 'fairy': 0.5}","[50, 20, 55, 25, 25, 30]",['bug']
butterfree,395,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 0.5, 'grass': 4, 'ice': 1, 'fighting': 1.0, 'poison': 0.5, 'ground': 1, 'flying': 0.5, 'psychic': 2, 'bug': 2, 'rock': 0.5, 'ghost': 0.5, 'dragon': 1, 'dark': 2, 'steel': 0.25, 'fairy': 0.5}","[60, 45, 50, 90, 80, 70]","['bug', 'flying']"
weedle,195,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 4, 'ice': 1, 'fighting': 0.5, 'poison': 0.25, 'ground': 0.5, 'flying': 0.5, 'psychic': 2, 'bug': 1, 'rock': 0.5, 'ghost': 0.25, 'dragon': 1, 'dark': 2, 'steel': 0.0, 'fairy': 1.0}","[40, 35, 30, 20, 20, 50]","['bug', 'poison']"
kakuna,205,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 4, 'ice': 1, 'fighting': 0.5, 'poison': 0.25, 'ground': 0.5, 'flying': 0.5, 'psychic': 2, 'bug': 1, 'rock': 0.5, 'ghost': 0.25, 'dragon': 1, 'dark': 2, 'steel': 0.0, 'fairy': 1.0}","[45, 25, 50, 25, 25, 35]","['bug', 'poison']"
beedrill,395,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 4, 'ice': 1, 'fighting': 0.5, 'poison': 0.25, 'ground': 0.5, 'flying': 0.5, 'psychic': 2, 'bug': 1, 'rock': 0.5, 'ghost': 0.25, 'dragon': 1, 'dark': 2, 'steel': 0.0, 'fairy': 1.0}","[65, 90, 40, 45, 80, 75]","['bug', 'poison']"
pidgey,251,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 2, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.25, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.25, 'fairy': 1}","[40, 45, 40, 35, 35, 56]","['normal', 'flying']"
pidgeotto,349,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 2, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.25, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.25, 'fairy': 1}","[63, 60, 55, 50, 50, 71]","['normal', 'flying']"
pidgeot,479,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 2, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.25, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.25, 'fairy': 1}","[83, 80, 75, 70, 70, 101]","['normal', 'flying']"
rattata,253,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","[30, 56, 35, 25, 35, 72]",['normal']
raticate,413,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","[55, 81, 60, 50, 70, 97]",['normal']
spearow,262,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 2, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.25, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.25, 'fairy': 1}","[40, 60, 30, 31, 31, 70]","['normal', 'flying']"
fearow,442,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 2, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.25, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.25, 'fairy': 1}","[65, 90, 65, 61, 61, 100]","['normal', 'flying']"
ekans,288,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 2, 'ice': 1, 'fighting': 1, 'poison': 0.5, 'ground': 0.5, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0, 'fairy': 2}","[35, 60, 44, 40, 54, 55]",['poison']
arbok,448,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 2, 'ice': 1, 'fighting': 1, 'poison': 0.5, 'ground': 0.5, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0, 'fairy': 2}","[60, 95, 69, 65, 79, 80]",['poison']
pikachu,320,"{'normal': 1, 'fire': 1, 'water': 2, 'electric': 0.5, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 0, 'flying': 2, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[35, 55, 40, 50, 50, 90]",['electric']
raichu,485,"{'normal': 1, 'fire': 1, 'water': 2, 'electric': 0.5, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 0, 'flying': 2, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[60, 90, 55, 90, 80, 110]",['electric']
sandshrew,300,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 2, 'ground': 1, 'flying': 0, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 2, 'fairy': 1}","[50, 75, 85, 20, 30, 40]",['ground']
sandslash,450,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 2, 'ground': 1, 'flying': 0, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 2, 'fairy': 1}","[75, 100, 110, 45, 55, 65]",['ground']
nidoran-f,275,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 2, 'ice': 1, 'fighting': 1, 'poison': 0.5, 'ground': 0.5, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0, 'fairy': 2}","[55, 47, 52, 40, 40, 41]",['poison']
nidorina,365,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 2, 'ice': 1, 'fighting': 1, 'poison': 0.5, 'ground': 0.5, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0, 'fairy': 2}","[70, 62, 67, 55, 55, 56]",['poison']
nidoqueen,505,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 2, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 1.0, 'ground': 0.5, 'flying': 0, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0, 'fairy': 2}","[90, 92, 87, 75, 85, 76]","['poison', 'ground']"
nidoran-m,273,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 2, 'ice': 1, 'fighting': 1, 'poison': 0.5, 'ground': 0.5, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0, 'fairy': 2}","[46, 57, 40, 40, 40, 50]",['poison']
nidorino,365,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 2, 'ice': 1, 'fighting': 1, 'poison': 0.5, 'ground': 0.5, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0, 'fairy': 2}","[61, 72, 57, 55, 55, 65]",['poison']
nidoking,505,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 2, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 1.0, 'ground': 0.5, 'flying': 0, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0, 'fairy': 2}","[81, 102, 77, 85, 75, 85]","['poison', 'ground']"
clefairy,323,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 0.5, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 2, 'dark': 2, 'steel': 0.5, 'fairy': 1}","[70, 45, 48, 60, 65, 35]",['fairy']
clefable,483,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 0.5, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 2, 'dark': 2, 'steel': 0.5, 'fairy': 1}","[95, 70, 73, 95, 90, 60]",['fairy']
vulpix,299,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 1, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.5, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 2, 'fairy': 1}","[38, 41, 40, 50, 65, 65]",['fire']
ninetales,505,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 1, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.5, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 2, 'fairy': 1}","[73, 76, 75, 81, 100, 100]",['fire']
jigglypuff,270,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 0.5, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0, 'dragon': 2, 'dark': 2, 'steel': 0.25, 'fairy': 1}","[115, 45, 20, 45, 25, 20]","['normal', 'fairy']"
wigglytuff,435,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 0.5, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0, 'dragon': 2, 'dark': 2, 'steel': 0.25, 'fairy': 1}","[140, 70, 45, 85, 50, 45]","['normal', 'fairy']"
zubat,245,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 4, 'ice': 1, 'fighting': 2, 'poison': 0.5, 'ground': 0.5, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.25, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[40, 45, 35, 30, 40, 55]","['poison', 'flying']"
golbat,455,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 4, 'ice': 1, 'fighting': 2, 'poison': 0.5, 'ground': 0.5, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.25, 'ghost': 0.5, 'dragon': 1, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[75, 80, 70, 65, 75, 90]","['poison', 'flying']"
oddish,320,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[45, 50, 55, 75, 65, 30]","['grass', 'poison']"
gloom,395,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[60, 65, 70, 85, 75, 40]","['grass', 'poison']"
vileplume,490,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[75, 80, 85, 110, 90, 50]","['grass', 'poison']"
paras,285,"{'normal': 1, 'fire': 0.25, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 0.5, 'poison': 0.25, 'ground': 2, 'flying': 0.25, 'psychic': 2, 'bug': 0.5, 'rock': 2, 'ghost': 0.5, 'dragon': 0.5, 'dark': 2, 'steel': 0.25, 'fairy': 0.5}","[35, 70, 55, 45, 55, 25]","['bug', 'grass']"
parasect,405,"{'normal': 1, 'fire': 0.25, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 0.5, 'poison': 0.25, 'ground': 2, 'flying': 0.25, 'psychic': 2, 'bug': 0.5, 'rock': 2, 'ghost': 0.5, 'dragon': 0.5, 'dark': 2, 'steel': 0.25, 'fairy': 0.5}","[60, 95, 80, 60, 80, 30]","['bug', 'grass']"
venonat,305,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 4, 'ice': 1, 'fighting': 0.5, 'poison': 0.25, 'ground': 0.5, 'flying': 0.5, 'psychic': 2, 'bug': 1, 'rock': 0.5, 'ghost': 0.25, 'dragon': 1, 'dark': 2, 'steel': 0.0, 'fairy': 1.0}","[60, 55, 50, 40, 55, 45]","['bug', 'poison']"
venomoth,450,"{'normal': 1, 'fire': 0.5, 'water': 1, 'electric': 1, 'grass': 4, 'ice': 1, 'fighting': 0.5, 'poison': 0.25, 'ground': 0.5, 'flying': 0.5, 'psychic': 2, 'bug': 1, 'rock': 0.5, 'ghost': 0.25, 'dragon': 1, 'dark': 2, 'steel': 0.0, 'fairy': 1.0}","[70, 65, 60, 90, 75, 90]","['bug', 'poison']"
diglett,265,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 2, 'ground': 1, 'flying': 0, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 2, 'fairy': 1}","[10, 55, 25, 35, 45, 95]",['ground']
dugtrio,425,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 2, 'ground': 1, 'flying': 0, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 2, 'fairy': 1}","[35, 100, 50, 50, 70, 120]",['ground']
meowth,290,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","[40, 45, 35, 40, 40, 90]",['normal']
persian,440,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","[65, 70, 60, 65, 65, 115]",['normal']
psyduck,320,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[50, 52, 48, 65, 50, 55]",['water']
golduck,500,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[80, 82, 78, 95, 80, 85]",['water']
mankey,305,"{'normal': 2, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 0.5, 'psychic': 0.5, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 2, 'steel': 2, 'fairy': 0.5}","[40, 80, 35, 35, 45, 70]",['fighting']
primeape,455,"{'normal': 2, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 0.5, 'psychic': 0.5, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 2, 'steel': 2, 'fairy': 0.5}","[65, 105, 60, 60, 70, 95]",['fighting']
growlithe,350,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 1, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.5, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 2, 'fairy': 1}","[55, 70, 45, 70, 50, 60]",['fire']
arcanine,555,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 1, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 2, 'rock': 0.5, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 2, 'fairy': 1}","[90, 110, 80, 100, 80, 95]",['fire']
poliwag,300,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[40, 50, 40, 40, 40, 90]",['water']
poliwhirl,385,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 0.5, 'dark': 1, 'steel': 1, 'fairy': 1}","[65, 65, 65, 50, 50, 90]",['water']
poliwrath,510,"{'normal': 2, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 0.5, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 2, 'flying': 0.5, 'psychic': 0.5, 'bug': 0.5, 'rock': 4, 'ghost': 0, 'dragon': 0.5, 'dark': 2, 'steel': 2, 'fairy': 0.5}","[90, 95, 95, 70, 90, 70]","['water', 'fighting']"
abra,310,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 2, 'ground': 1, 'flying': 1, 'psychic': 0.5, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 0, 'steel': 0.5, 'fairy': 1}","[25, 20, 15, 105, 55, 90]",['psychic']
kadabra,400,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 2, 'ground': 1, 'flying': 1, 'psychic': 0.5, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 0, 'steel': 0.5, 'fairy': 1}","[40, 35, 30, 120, 70, 105]",['psychic']
alakazam,500,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 2, 'ground': 1, 'flying': 1, 'psychic': 0.5, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 0, 'steel': 0.5, 'fairy': 1}","[55, 50, 45, 135, 95, 120]",['psychic']
machop,305,"{'normal': 2, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 0.5, 'psychic': 0.5, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 2, 'steel': 2, 'fairy': 0.5}","[70, 80, 50, 35, 35, 35]",['fighting']
machoke,405,"{'normal': 2, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 0.5, 'psychic': 0.5, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 2, 'steel': 2, 'fairy': 0.5}","[80, 100, 70, 50, 60, 45]",['fighting']
machamp,505,"{'normal': 2, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 0.5, 'psychic': 0.5, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 2, 'steel': 2, 'fairy': 0.5}","[90, 130, 80, 65, 85, 55]",['fighting']
bellsprout,300,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[50, 75, 35, 70, 30, 40]","['grass', 'poison']"
weepinbell,390,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[65, 90, 50, 85, 45, 55]","['grass', 'poison']"
victreebel,490,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.25, 'ground': 1.0, 'flying': 0.5, 'psychic': 1, 'bug': 0.5, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0.0, 'fairy': 2}","[80, 105, 65, 100, 70, 70]","['grass', 'poison']"
tentacool,335,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 1, 'grass': 1.0, 'ice': 1, 'fighting': 1, 'poison': 0.5, 'ground': 1.0, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1.0, 'ghost': 0.5, 'dragon': 0.5, 'dark': 1, 'steel': 0, 'fairy': 2}","[40, 40, 35, 50, 100, 70]","['water', 'poison']"
